Statistic Label,Year,Type of Building and Construction,UNIT,VALUE
Value of Production Index in Building and Construction,2014,All building and construction,Base 2015=100,91.97468026
Value of Production Index in Building and Construction,2014,Building (excluding civil engineering),Base 2015=100,86.94652937
Value of Production Index in Building and Construction,2014,Residential building,Base 2015=100,76.99972936
Value of Production Index in Building and Construction,2014,Non-residential building,Base 2015=100,94.9368574
Value of Production Index in Building and Construction,2014,Civil engineering,Base 2015=100,103.5199376
Value of Production Index in Building and Construction,2015,All building and construction,Base 2015=100,100
Value of Production Index in Building and Construction,2015,Building (excluding civil engineering),Base 2015=100,100
Value of Production Index in Building and Construction,2015,Residential building,Base 2015=100,100
Value of Production Index in Building and Construction,2015,Non-residential building,Base 2015=100,100
Value of Production Index in Building and Construction,2015,Civil engineering,Base 2015=100,100
Value of Production Index in Building and Construction,2016,All building and construction,Base 2015=100,110.2714585
Value of Production Index in Building and Construction,2016,Building (excluding civil engineering),Base 2015=100,111.7603069
Value of Production Index in Building and Construction,2016,Residential building,Base 2015=100,124.2695741
Value of Production Index in Building and Construction,2016,Non-residential building,Base 2015=100,109.8222514
Value of Production Index in Building and Construction,2016,Civil engineering,Base 2015=100,103.4889268
Value of Production Index in Building and Construction,2017,All building and construction,Base 2015=100,126.310635
Value of Production Index in Building and Construction,2017,Building (excluding civil engineering),Base 2015=100,130.1776995
Value of Production Index in Building and Construction,2017,Residential building,Base 2015=100,146.5995235
Value of Production Index in Building and Construction,2017,Non-residential building,Base 2015=100,127.6334732
Value of Production Index in Building and Construction,2017,Civil engineering,Base 2015=100,108.6940077
Value of Production Index in Building and Construction,2018,All building and construction,Base 2015=100,145.1079473
Value of Production Index in Building and Construction,2018,Building (excluding civil engineering),Base 2015=100,149.3146993
Value of Production Index in Building and Construction,2018,Residential building,Base 2015=100,150.5893262
Value of Production Index in Building and Construction,2018,Non-residential building,Base 2015=100,149.1172219
Value of Production Index in Building and Construction,2018,Civil engineering,Base 2015=100,125.9438552
Value of Production Index in Building and Construction,2019,All building and construction,Base 2015=100,156.6246742
Value of Production Index in Building and Construction,2019,Building (excluding civil engineering),Base 2015=100,164.1872762
Value of Production Index in Building and Construction,2019,Residential building,Base 2015=100,174.1315754
Value of Production Index in Building and Construction,2019,Non-residential building,Base 2015=100,162.6466102
Value of Production Index in Building and Construction,2019,Civil engineering,Base 2015=100,122.1728202
Value of Production Index in Building and Construction,2020,All building and construction,Base 2015=100,143.8280889
Value of Production Index in Building and Construction,2020,Building (excluding civil engineering),Base 2015=100,152.3399481
Value of Production Index in Building and Construction,2020,Residential building,Base 2015=100,136.3717262
Value of Production Index in Building and Construction,2020,Non-residential building,Base 2015=100,154.813898
Value of Production Index in Building and Construction,2020,Civil engineering,Base 2015=100,105.0518413
Value of Production Index in Building and Construction,2021,All building and construction,Base 2015=100,147.7423662
Value of Production Index in Building and Construction,2021,Building (excluding civil engineering),Base 2015=100,152.4548244
Value of Production Index in Building and Construction,2021,Residential building,Base 2015=100,129.3782101
Value of Production Index in Building and Construction,2021,Non-residential building,Base 2015=100,156.0300745
Value of Production Index in Building and Construction,2021,Civil engineering,Base 2015=100,126.2745013
