"Local Authority","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"Carlow County",4,1,3,3,9,10,10,4,5,7,5,9
"Cavan County",6,8,7,8,9,4,10,8,12,13,8,0
"Clare County",4,23,15,13,17,22,16,19,12,11,15,8
"Cork City",4,4,4,6,2,7,6,3,4,7,4,3
"Cork County",26,47,90,65,88,74,87,63,84,51,69,50
"Donegal County",9,18,27,24,17,23,18,15,22,25,24,12
"Dublin City",10,15,22,23,18,16,17,16,13,15,22,11
"Dun-Laoghaire Rathdown",5,17,18,11,22,25,22,11,15,11,19,7
"Fingal County",16,20,21,15,23,18,14,23,22,29,31,17
"Galway City",2,3,2,1,6,5,3,4,2,3,2,4
"Galway County",22,19,37,32,40,42,34,29,35,26,35,22
"Kerry County",10,18,18,28,18,24,22,17,18,17,15,17
"Kildare County",19,21,20,31,35,31,21,35,21,32,33,14
"Kilkenny County",9,15,11,13,21,11,17,14,25,10,8,7
"Laois County",5,11,14,14,18,10,12,9,6,14,12,8
"Leitrim County",2,3,3,5,2,2,0,5,2,1,3,0
"Limerick City and County",6,15,25,23,20,17,20,18,14,20,21,12
"Longford County",2,4,3,9,5,2,6,4,8,2,1,2
"Louth County",14,14,21,24,18,21,19,19,17,15,14,10
"Mayo County",14,12,26,25,28,28,16,27,28,20,22,13
"Meath County",27,31,41,42,44,52,45,40,38,44,31,23
"Monaghan County",12,7,11,9,9,13,15,18,8,12,8,8
"Offaly County",3,5,9,7,18,6,8,5,7,6,10,2
"Roscommon County",3,8,9,9,11,12,6,11,7,6,10,4
"Sligo County",7,5,10,4,5,13,9,5,6,6,7,6
"South Dublin County",12,10,15,18,8,16,10,5,19,26,17,3
"Tipperary County",3,17,11,9,15,17,20,15,11,18,9,9
"Waterford City and County",7,11,9,10,16,14,9,13,8,9,13,6
"Westmeath County",8,9,11,14,14,14,10,14,8,11,9,6
"Wexford County",18,25,19,24,32,24,24,28,20,24,15,20
"Wicklow County",17,12,9,18,17,21,16,5,13,14,21,15
"Dublin Local Authorities",43,62,76,67,71,75,63,55,69,81,89,38
"Greater Dublin Area",120,140,167,182,185,200,164,154,158,186,188,100
